"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 25 23:15:05 CEST 2023","Sun Jun 25 23:16:00 CEST 2023","55110","firefox","","Formularz logowania","","","Logowanie: Błędny login/dobre hasło",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:14:51 CEST 2023","48293","chromium","","Formularz logowania","","","Logowanie: brak loginu i hasła",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:14:46 CEST 2023","43454","chromium","","Formularz logowania","","","Logowanie: Błędny login/dobre hasło",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:15:16 CEST 2023","74097","chromium","","Formularz logowania > Przypomnij hasło","","","Formularz przypomnienia hasła, pozytywny",""
"passed","Sun Jun 25 23:15:01 CEST 2023","Sun Jun 25 23:16:00 CEST 2023","58856","firefox","","Formularz logowania","","","Logowanie: brak loginu",""
"passed","Sun Jun 25 23:15:21 CEST 2023","Sun Jun 25 23:16:23 CEST 2023","61665","firefox","","Formularz logowania","","","Logowanie: Dobry login/złe hasło",""
"passed","Sun Jun 25 23:15:27 CEST 2023","Sun Jun 25 23:16:17 CEST 2023","49570","firefox","","Formularz logowania > Przypomnij hasło","","","Formularz przypomnienia hasła, brak podania maila",""
"passed","Sun Jun 25 23:14:43 CEST 2023","Sun Jun 25 23:15:02 CEST 2023","18615","chromium","","Formularz logowania > Przypomnij hasło","","","Formularz przypomnienia hasła, brak podania maila",""
"passed","Sun Jun 25 23:15:25 CEST 2023","Sun Jun 25 23:16:20 CEST 2023","54939","firefox","","Formularz logowania","","","Przejdź do rejestracji",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:14:43 CEST 2023","41142","chromium","","Formularz logowania","","","Logowanie: brak loginu",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:14:48 CEST 2023","45488","chromium","","Formularz logowania","","","Logowanie: Dobry login/złe hasło",""
"passed","Sun Jun 25 23:14:53 CEST 2023","Sun Jun 25 23:15:36 CEST 2023","42438","firefox","","Formularz logowania","","","Logowanie z poprawnymi danymi",""
"passed","Sun Jun 25 23:14:46 CEST 2023","Sun Jun 25 23:15:13 CEST 2023","27011","chromium","","Formularz logowania > Przypomnij hasło","","","Formularz przypomnienia hasła, zły format email",""
"passed","Sun Jun 25 23:15:32 CEST 2023","Sun Jun 25 23:16:29 CEST 2023","57196","firefox","","Formularz logowania > Przypomnij hasło","","","Formularz przypomnienia hasła, pozytywny",""
"passed","Sun Jun 25 23:15:31 CEST 2023","Sun Jun 25 23:16:26 CEST 2023","54508","firefox","","Formularz logowania > Przypomnij hasło","","","Formularz przypomnienia hasła, zły format email",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:15:26 CEST 2023","83982","chromium","","Formularz logowania","","","Logowanie: brak hasła",""
"passed","Sun Jun 25 23:14:55 CEST 2023","Sun Jun 25 23:15:27 CEST 2023","32079","firefox","","Formularz logowania","","","Logowanie: brak loginu i hasła",""
"passed","Sun Jun 25 23:14:56 CEST 2023","Sun Jun 25 23:15:31 CEST 2023","35623","firefox","","Formularz logowania","","","Logowanie: brak hasła",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:14:52 CEST 2023","49953","chromium","","Formularz logowania","","","Przejdź do rejestracji",""
"passed","Sun Jun 25 23:14:02 CEST 2023","Sun Jun 25 23:14:59 CEST 2023","56494","chromium","","Formularz logowania","","","Logowanie z poprawnymi danymi",""
